Event	ID	Name			Wwise Object Path	Notes
	709824872	Play_Footstep_Surface			\Default Work Unit\Player\Play_Footstep_Surface	
	784840363	Play_Flashlight_Switch			\Default Work Unit\Player\Play_Flashlight_Switch	
	919644948	Play_Room_Wind			\Default Work Unit\Ambience\Play_Room_Wind	
	1166635208	Play_Button3_Click			\Default Work Unit\UI\Play_Button3_Click	
	1410513580	Play_Wall_Hit_Blend			\Default Work Unit\Objects\Play_Wall_Hit_Blend	
	1660008929	Play_Door_Open			\Default Work Unit\Objects\Door\Play_Door_Open	
	2145787553	Play_Move_Negative			\Default Work Unit\Objects\Play_Move_Negative	
	2292458263	Play_Door_Close			\Default Work Unit\Objects\Door\Play_Door_Close	
	2736697007	Play_Room			\Music\General\Play_Room	
	3847524746	Play_Moving_Object			\Default Work Unit\Objects\Play_Moving_Object	
	4064524182	Play_Flashlight_On_Off			\Default Work Unit\Player\Play_Flashlight_On_Off	
	4155730121	Play_Presence			\Default Work Unit\Ambience\Play_Presence	

Switch Group	ID	Name			Wwise Object Path	Notes
	4064446173	Surface_Type			\Default Work Unit\Surface_Type	

Switch	ID	Name	Switch Group			Notes
	712161697	Rug	Surface_Type			
	2058049674	Wood	Surface_Type			

State Group	ID	Name			Wwise Object Path	Notes
	2106907484	Music_Regions			\MusicStates\Music_Regions	

State	ID	Name	State Group			Notes
	0	None	Music_Regions			
	1359360137	Room1	Music_Regions			

Effect plug-ins	ID	Name	Type				Notes
	2394809124	Very_Slow_Modulation	Wwise Tremolo			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	3214314	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Background\Ambient_Regions\Room_Wind\Wind_Howling\SoundSeed Air Wind	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	5177747	Button3_Click	C:\Users\jonas\Documents\GitHub\DADIUTeam1MP1\WwiseProject_MGP1_Team1\.cache\Windows\SFX\220197__gameaudio__click-basic_7A224B1A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Non-World\UI\Button3_Click		24092
	29292564	Flashlight_Electricity	C:\Users\jonas\Documents\GitHub\DADIUTeam1MP1\WwiseProject_MGP1_Team1\.cache\Windows\SFX\341612__pureaudioninja__electricity-4_E40D6CE4.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Flashlight\Flashlight_Switch\Flashlight_Electricity		310644
	63531734	Room_Tone	C:\Users\jonas\Documents\GitHub\DADIUTeam1MP1\WwiseProject_MGP1_Team1\.cache\Windows\SFX\360731__klankbeeld__roomtoneapartment-day160924-0973_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Background\Ambient_Regions\Room_Wind\Room_Tone		5778888
	68146147	WallHit_1	C:\Users\jonas\Documents\GitHub\DADIUTeam1MP1\WwiseProject_MGP1_Team1\.cache\Windows\SFX\Wall Hit_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Wall_Hit_Blend\Wall_Hits\WallHit_1		288064
	130944352	Door_Close	C:\Users\jonas\Documents\GitHub\DADIUTeam1MP1\WwiseProject_MGP1_Team1\.cache\Windows\SFX\Door, Wood, Entrance, Open, Close, Soft, Perspective SND1520_DE6713B8.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Door\Door_Close\Door_Close		198980
	224362045	Hinge_Unlock	C:\Users\jonas\Documents\GitHub\DADIUTeam1MP1\WwiseProject_MGP1_Team1\.cache\Windows\SFX\342873__pfannkuchn__wooden-door-1-opening-and-closing-with-different-speeds-and-articulations_53894B5A.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Door\Door_Open\Hinge_Unlock		255888
	310584922	Door_Close_Shut	C:\Users\jonas\Documents\GitHub\DADIUTeam1MP1\WwiseProject_MGP1_Team1\.cache\Windows\SFX\Door, Wood, Entrance, Open, Close, Soft, Perspective SND1520 1_8351FAF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Door\Door_Close\Door_Close_Shut		96638
	322987836	footstep_wood_4	C:\Users\jonas\Documents\GitHub\DADIUTeam1MP1\WwiseProject_MGP1_Team1\.cache\Windows\SFX\footstep_wood_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Footstep_Wood\footstep_wood_4		42996
	343902678	Harp & Vibraphone BHCT-3-Main Loop_2_8L	C:\Users\jonas\Documents\GitHub\DADIUTeam1MP1\WwiseProject_MGP1_Team1\.cache\Windows\SFX\Harp & Vibraphone BHCT-3-Main Loop_2_8L_ACB404EA.wem		\Interactive Music Hierarchy\Music\Music_Regions\Room\B_Loop\Harp & Vibraphone BHCT-3-Main Loop_2_8L		1580536
	419815528	Squecky_Presence	C:\Users\jonas\Documents\GitHub\DADIUTeam1MP1\WwiseProject_MGP1_Team1\.cache\Windows\SFX\CreekyWood_Barefoot_Sneaking_62B7F068.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Presence\Squecky_Presence		378420
	428273513	5-Main Loop_2variation_8L-Thrill Human Fear Ambience	C:\Users\jonas\Documents\GitHub\DADIUTeam1MP1\WwiseProject_MGP1_Team1\.cache\Windows\SFX\5-Main Loop_2variation_8L-Thrill Human Fear Ambience_ACB404EA.wem		\Interactive Music Hierarchy\Music\Music_Regions\Room\B_Loop_Variation\5-Main Loop_2variation_8L-Thrill Human Fear Ambience		1580536
	431542660	2-Minimalistic Loop_4L_PEX-Harp	C:\Users\jonas\Documents\GitHub\DADIUTeam1MP1\WwiseProject_MGP1_Team1\.cache\Windows\SFX\2-Minimalistic Loop_4L_PEX-Harp_ACB404EA.wem		\Interactive Music Hierarchy\Music\Music_Regions\Room\Minimalistic_Loop\2-Minimalistic Loop_4L_PEX-Harp		950824
	485333703	5-Main Loop_2variation_8L-Sketch Piano #1	C:\Users\jonas\Documents\GitHub\DADIUTeam1MP1\WwiseProject_MGP1_Team1\.cache\Windows\SFX\5-Main Loop_2variation_8L-Sketch Piano #1_ACB404EA.wem		\Interactive Music Hierarchy\Music\Music_Regions\Room\B_Loop_Variation\5-Main Loop_2variation_8L-Sketch Piano #1		1580536
